iter	Passed	Remaining
0	0	30
1	1	65
2	1	50
3	1	41
4	1	37
5	2	34
6	2	32
7	2	30
8	2	29
9	3	28
10	3	27
11	3	26
12	3	25
13	4	24
14	4	23
15	4	23
16	4	22
17	4	22
18	5	21
19	5	21
20	5	20
21	5	20
22	5	20
23	6	19
24	6	19
25	6	19
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	17
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	12
47	11	12
48	11	12
49	12	12
50	12	11
51	12	11
52	12	11
53	12	11
54	13	10
55	13	10
56	13	10
57	13	9
58	14	9
59	14	9
60	14	9
61	14	9
62	15	8
63	15	8
64	15	8
65	15	8
66	16	7
67	16	7
68	16	7
69	16	7
70	17	6
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	20	3
86	21	3
87	21	2
88	21	2
89	21	2
90	21	2
91	22	1
92	22	1
93	22	1
94	22	1
95	23	0
96	23	0
97	23	0
98	23	0
99	24	0
